,p_fx_levels,eligibility,eligibility - label,reviewer_note,available_reports,Title,URL,Description,ShortDetails,Author,Journal,Year,abstract,retraction_notes,protocol_and_reg,p_setting,p_sampling,p_sex,p_age,p_doi,p_hpi,p_pmhx_pshx,p_medications,p_osteoporosis,p_obs_gyn,p_sx_risk,p_extra_injuries,p_fx_count,p_fx_morphology,p_neurology,p_spine_pshx,p_spine_disease,i_main,i_comparison,i_assignment,o_main_analyses,Details,Resource,Type,Identifiers,Db,EntrezUID,Properties,BibliographyType,ISBN,Identifier,Volume,Number,Month,Pages,Address,Note,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,primary_screen_ts,p_sample_losses,p_allergies,p_social_hx,p_family_hx,p_other,i_rationale,i_who_where,i_care_coverage,i_alloc_conceal,i_assign_mask,i_deliv_deviations,i_crossover,i_sx_count,i_extra_sx,i_nonsx_therapy,i_time_to_sx,i_preop_wu,i_anesthesia,i_surgeon_xp,i_incision_line,i_incision_size,i_sx_retractors,i_endoscopy,i_videoscopy,i_microscopy,i_microsurgery,i_sx_navigation,i_c-arm,i_spine_toolset,i_decompression,i_reduction,i_screw_count,i_screw_config,i_post_fixat_dev,i_ven_fixat_dev,i_fus_implants,i_fus_technique,i_augmentation,i_other_implants,i_drain_policy,i_suturing,i_postop_mgmt,i_dc_plan,i_other,o_assessment,o_assess_mask,o_fu_schedule,o_fu_losses,o_nonreporting,o_sub_analyses,o_add_analyses,o_handl_mul_anal,o_covar_adjust,o_survival_anal,o_mul_measure,o_or_time,o_blood_loss,o_transfus_need,o_neurology,o_other_ae,o_hrqol,o_pain_intensity,o_pt_satisfaction,o_other_proms,o_other_croms,o_ssi,o_pacu_time,o_inpatient_stay,o_neuropath_pain,o_sepsis,o_intraop_ae,o_repeat_sx,o_readmission,o_death,o_pneumonia,o_vte,o_implant_failure,o_implant_remov,o_verterbal_kyph,o_seg_kyph,o_local_kyph,o_vertebral_ht,o_poor_union,o_kyph_corr,o_corr_loss,o_canal_stenosis,o_alignment,o_other_imaging,o_return_to_work,o_other,handl_miss_data,other_adjust,regression_anal,other_econ_anal,study_conclusions,practice_recomm,research_recomm,what_is_next,discussion,correspondence,coi_concern,miscond_concern,preib_cnfndng,preib_selection,preib_rndmztn,atib_msclssfctn,poib_deviations,poib_missing,poib_msrmnt,poib_selection
9766,,,,,,"CLAVICLE FRACTURE FIXATIONS IN
PATIENTS WITH FLAIL CHEST AND
POLYTRAUMA",https://elibrary.ru/item.asp?id=37166764,,,"Fil, A.  Yu; Levytskyy, N.  V.; Seniuk, Yu I.; Valigurskyi, M.  I.",Травма,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a37166764,20,1,,98--101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9493,,,,,,"HIP OSTEOARTHRITIS. CLINICAL AND
SOCIAL ASPECTS OF DISEASE.
ANALYTICAL REVIEW OF THE
LITERATURE. PART I",https://elibrary.ru/item.asp?id=37166767,,,"Fischenko, V.  O.; Kirichenko, V.  I.; Yaremin, S.  Yu; Branitsky, O.  Yu; Karpinskaya, O.  D.",Травма,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a37166767,20,1,,118--125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9622,,,,,,"DEVELOPMENT OF SYSTEMS FOR
PHYSICAL REHABILITATION AND
EVALUATION OF THEIR EFFECTIVENESS
IN POSTMENOPAUSAL WOMEN WITH
OSTEOPOROSIS DEPENDING ON THE AGE
AND NUMBER OF VERTEBRAL FRACTURES",https://elibrary.ru/item.asp?id=35302072,,,"Grygorieva, N.  V.; Povoroznyuk, V.  V.; Rybina, O.  S.",Боль. Суставы. Позвоночник,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35302072,8,2,,93--100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9876,,,,,,"TRAUMOGENESIS OF SPINE INJURIES
IN VICTIMS WITH POLYTRAUMA AS A
RESULT OF ROAD ACCIDENTS",https://elibrary.ru/item.asp?id=35017999,,,"Guriev, S.  A.; Tanasienko, P.  V.; Palagniuk, K.  V.",Вісник морфології,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35017999,23,1,,94--97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9744,,,,,,"TRIPLE ARTHRODESIS IN THE
TREATMENT OF FLAT FOOT DEFORMITIES
IN CHILDREN WITH NEUROMUSCULAR
DISORDER",https://elibrary.ru/item.asp?id=36946176,,,"Hoshko, V.  Iu; Cheverda, A.  I.","Вісник ортопедії, травматології та протезування",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36946176,,3,,49--56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9867,,,,,,"AUTOLOGOUS PLATELET-RICH PLASMA
APPLICATION FOR THE OPTIMIZATION
OF BONE TISSUE REPARATIVE
REGENERATION IN OSTEOPENIA",https://elibrary.ru/item.asp?id=36547399,,,"Ivchenko, D.  V.; Miroshnikov, V.  V.",Патологiя,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36547399,15,2,,248--258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9508,,,,,,"RUSSIAN EXPERIENCE WITH
INJECTABLE CHONDROITIN SULFATE AND
GLUCOSAMINE SULFATE: A REVIEW OF
CLINICAL TRIALS",https://elibrary.ru/item.asp?id=35061388,,,"Karateev, A.  E.; Lila, A.  M.",Современная ревматология,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35061388,12,1,,33--40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9834,,,,,,"FORMATION OF SYNDROME OF
INSTABILITY AND ITS SURGICAL
TREATMENT",https://elibrary.ru/item.asp?id=36914692,,,"Karibaev, B.  M.; Muhametzhanov, H.; Bekarisov, O.  S.; Baydarbekov, M.  U.",Вестник Казахского Национального медицинского университета,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36914692,,2,,402--403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9638,,,,,,"DIFFERENTIATED APPROACH TO THE
DIAGNOSIS OF OPTIC NEURITIS OF THE
VARIOUS ETIOLOGIES",https://elibrary.ru/item.asp?id=35779812,,,"Khamraeva, G.",Oftalmologiya,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35779812,,1,,125--129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9590,,,,,,"THE STRUCTURE OF MODERN CIVILIAN
MULTIPLE TRAUMA AT THE STAGE OF
PROVIDING TERTIARY CARE IN THE
INTENSIVE CARE UNIT OF REGIONAL
HOSPITAL",https://elibrary.ru/item.asp?id=37144635,,,"Krishtafor, A.  A.",Медицина неотложных состояний,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a37144635,,1,,96--100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9352,,,,,,"EXTRAVERTEBRAL CEMENT LEAKAGE AT
PERCUTANEOUS KYPHOPLASTY IN
PATIENTS WITH OSTEOPOROTIC
VERTEBRAL COMPRESSION FRACTURES",https://elibrary.ru/item.asp?id=36589938,,,"Lysenko, S.  M.; Ilyuk, R.  Yu; Lytvynenko, A.  L.; Klymenko, O.  V.; Ashykhmin, A.  V.; Voznyak, O.  M.",Український нейрохірургічний журнал,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36589938,,4,,38--44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604,,,,,,"SELECTION METHODS OF DIAGNOSIS
PENETRATES WOUND TO THE CHEST",https://elibrary.ru/item.asp?id=36914651,,,"Medetbekov, T.; Kanybeku, A.; Sembene, G.",Вестник Казахского Национального медицинского университета,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36914651,,2,,293--294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9591,,,,,,"STRUCTURAL CHANGE IN THE NERVE
APPARATUS OF STRIATED MUSCLES OF
RATS IN CASE OF SPINAL CORD
TRAUMA",https://elibrary.ru/item.asp?id=35560012,,,"Novoselskaya, N.  A.; Kunitsa, V.  N.; Gasanova, I.  Kh",Modern Science,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35560012,,8,,23--28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9842,,,,,,"CHRONIC FATIGUE SYNDROME/MYALGIC
ENCEPHALOMYELITIS: DIAGNOSIS FROM
AN OSTEOPATHIC PERSPECTIVE",https://elibrary.ru/item.asp?id=35166295,,,"Perrin, R.  N.",Российский остеопатический журнал,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35166295,,1,,19--27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9351,,,,,,"FREQUENCY AND LOCALIZATION OF
OSTEOPOROTIC FRACTURES DEPENDING
ON AGE, BONE MINERAL DENSITY AND
TRABECULAR BONE SCORE IN
POSTMENOPAUSAL WOMEN OF UKRAINIAN
COHORT",https://elibrary.ru/item.asp?id=35302069,,,"Povoroznyuk, V.; Grygorieva, N.; Orlyk, T.",Боль. Суставы. Позвоночник,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35302069,8,2,,74--79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9792,,,,,,"THE TREATMENT OF OSTEOPOROSIS IN
PARKINSON’S DISEASE PATIENTS",https://elibrary.ru/item.asp?id=36474407,,,"Povoroznyuk, V.  V.; Bystrytska, M.  A.; Balatska, N.  І.",Травма,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36474407,19,5,,47--52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9631,,,,,,"GENDER PECULIARITIES OF BONE
MINERAL DENSITYIN PATIENTS WITH
PARKINSON’S DISEASE",https://elibrary.ru/item.asp?id=35011641,,,"Povoroznyuk, V.  V.; Bystrytska, M.  A.; Karaban, I.  M.; Karasevich, N.  V.",Боль. Суставы. Позвоночник,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35011641,8,1,,24--30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9488,,,,,,OSTEOPOROSIS IN ONCOLOGY,https://elibrary.ru/item.asp?id=35302073,,,"Povoroznyuk, V.  V.; Bystrytska, M.  A.; Musiienko, A.  S.",Боль. Суставы. Позвоночник,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35302073,8,2,,101--110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9759,,,,,,"ANALYSIS OF THE SPINAL CANAL
DIMENSIONS AND NEUROLOGICAL
SYMPTOMS DYNAMICS IN SURGICAL
TREATMENT OF BURST FRACTURES OF
THE THORACIC AND LUMBAR SPINE",https://elibrary.ru/item.asp?id=35093898,,,"Radchenko, V.  A.; Popsuyshapka, K.  A.; Teslenko, S.  A.",Український нейрохірургічний журнал,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35093898,,2,,47--60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9716,,,,,,"RESULTS OF THE VERTEBRAL BODY
REGENERATION DURING SURGICAL
TREATMENT OF BURST FRACTURES OF
THE THORACIC AND LUMBAR SPINE",https://elibrary.ru/item.asp?id=35049161,,,"Radchenko, V.  A.; Popsuyshapka, K.  A.; Teslenko, S.  A.",Травма,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35049161,19,2,,64--71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823,,,,,,"THE CONCEPT OF TREATMENT OF BURST
FRACTURES AND VERTEBRAL FRACTURES
WITH DISTRACTION AND ROTATION OF
THE THORACIC AND LUMBAR SPINE
ACCORDING TO THE PRINCIPLE OF
RESIDUAL FIXATION",https://elibrary.ru/item.asp?id=36825375,,,"Radchenko, V.  O.; Popsuyshapka, K.  O.",Травма,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36825375,19,6,,5--12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9753,,,,,,"THE EFFECTIVENESS OF LIFE SKILLS
TRAINING ON LIFE SATISFACTION IN
PATIENTS WITH SPINAL CORD INJURY",https://elibrary.ru/item.asp?id=36329136,,,"Ramezani, F.; Mazraeh, S.  A.",Клиническая и специальная психология,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36329136,7,3,,135--145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9327,,,,,,"HISTOCHEMICAL STUDY OF SKELETAL
MUSCLES IN EXPERIMENTAL SPINAL
CORD BLUNT INJURY",https://elibrary.ru/item.asp?id=35352202,,,"Raskaliei, T.  Ya; Raskaliei, V.  B.; Shobat, L.  B.; Gavriliuk-Skiba, G.  O.",Морфологiя,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35352202,10,3,,243--247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9705,,,,,,"DYNAMICS OF PAIN INTENSITY IN
PATIENTS AFTER ANTERIOR SUBAXIAL
CERVICAL FUSION",https://elibrary.ru/item.asp?id=35668320,,,"Slynko, I.  I.; Nekhlopochin, A.  S.",Український нейрохірургічний журнал,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35668320,,3,,47--54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9514,,,,,,"THE STATE OF SEGMENTAL KYPHOSIS
OF OPERATED SEGMENT AFTER ANTERIOR
SUBAXIAL CERVICAL FUSION USING
DIFFERENT TYPES OF STABILIZING
SYSTEMS",https://elibrary.ru/item.asp?id=35093895,,,"Slynko, I.  I.; Nekhlopochin, A.  S.",Український нейрохірургічний журнал,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35093895,,2,,26--32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9835,,,,,,"COMPARATIVE ANALYSIS OF THE RAT’S
PARETIC LIMB SPASTICITY DYNAMICS
FOLLOWING A SPINAL CORD TRAUMA AND
RESTORATIVE NEUROENGINEERING
INTERVENTIONS INVOLVING
MESENCHYMAL AND NEURAL STEM CELLS",https://elibrary.ru/item.asp?id=35203457,,,"Tsymbaliuk, V.  I.; Medvediev, V.  V.; Senchyk, Yu Yu; Draguntsova, N.  G.",Международный неврологический журнал,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35203457,,3,,5--12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9474,,,,,,"ASSOCIATIONS BETWEEN METABOLIC
SYNDROME AND BONE MINERAL DENSITY,
TRABECULAR BONE SCORE IN
POSTMENOPAUSAL WOMEN WITH
NON-VERTEBRAL FRACTURES",https://elibrary.ru/item.asp?id=36412720,,,"Vladyslav, P.; Larysa, M.; Iryna, S.; Liliya, M.",Боль. Суставы. Позвоночник,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36412720,8,3,,117--123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9883,,,,,,"ТРАВМАТИЧЕСКИЕ СЛУЧАИ ГРУДНОГО
ВСКАРМЛИВАНИЯ НОВОРОЖДЕННЫХ
ВЫЗЫВАЮТ ПСИХОЛОГИЧЕСКИЕ ПРОБЛЕМЫ
ВО ВЗРОСЛОМ ВОЗРАСТЕ",https://elibrary.ru/item.asp?id=37073648,,,"Yergnyan, M.  R.",Актуальные научные исследования в современном мире,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a37073648,,2,,27--31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9615,,,,,,"ОБОСНОВАНИЕ НОВОГО МЕТОДА
АЛЬТЕРНАТИВНОГО ЛЕЧЕНИЯ
ВРОЖДЕННОГО ВЫВИХА БЕДРА У
ПОДРОСТКОВ И ВЗРОСЛЫХ",https://elibrary.ru/item.asp?id=36323457,,,"Абакаров, А.  А.",Практическая медицина,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36323457,,7,,11--15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9801,,,,,,"ОБОСНОВАНИЕ НОВОГО МЕТОДА
АЛЬТЕРНАТИВНОГО ЛЕЧЕНИЯ
ВРОЖДЕННОГО ВЫВИХА БЕДРА У
ПОДРОСТКОВ И ВЗРОСЛЫХ",https://elibrary.ru/item.asp?id=36323768,,,"Абакаров, А.  А.",Практическая медицина,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a36323768,,7,,11--15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9350,,,,,,"ТИП ТРАВМИ ТА ЙОГО ВЗАЄМОЗВ’ЯЗОК
ЗІ ШКАЛОЮ КОМИ ГЛАЗГО, ШКАЛОЮ
ТЯЖКОСТІ ТРАВМИ ТА ПЕРЕЛИВАННЯМ
КРОВІ ПРИ ДТП",https://elibrary.ru/item.asp?id=35126501,,,"Абдулазіз, А.  А.; Раді, Г.  А.; Ентоні, М.; Ахмед, С.  А.; Фейсал, Ф.  А.; Абдулрахман, М.  А.; Фейсал, Х.  А.; Абдулазіз, Н.  А.; Язід, М.  А.; Абдулла, А.  А.",Медичні перспективи,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35126501,23,2,,148--159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9737,,,,,,"ЗАКРЫТЫЕ ПОВРЕЖДЕНИЯ АОРТЫ:
СОВРЕМЕННАЯ ДИАГНОСТИКА И ЛЕЧЕНИЕ
В ТРАВМОЦЕНТРЕ 1 УРОВНЯ",https://elibrary.ru/item.asp?id=37085738,,,"Абрамов, Д.  В.",Известия Российской Военно-медицинской академии,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a37085738,37,1,,7--9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9789,,,,,,"РУКОВОДСТВО ПО НЕОТЛОЖНОЙ
ТРАВМАТОЛОГИЧЕСКОЙ ПОМОЩИ ITLS",https://elibrary.ru/item.asp?id=35684235,,,"Августин, Д.",Врач скорой помощи,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35684235,,8,,7--26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9774,,,,,,"РЕЗУЛЬТАТЫ ЭЗОФАГОПЛАСТИКИ У
ДЕТЕЙ С РУБЦОВЫМИ ПОСЛЕОЖОГОВЫМИ
СТЕНОЗАМИ ПИЩЕВОДА",https://elibrary.ru/item.asp?id=35297095,,,"Аверин, В.  И.; Нестерук, Л.  Н.; Гриневич, Ю.  М.; Троян, В.  В.; Рустамов, В.  М.; Паталета, О.  А.; Болбас, Т.  М.; Жинь, И.  Г.",Хирургия детского возраста,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35297095,,1,,90--97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9563,,,,,,"ТЕЗИСЫ ПИРОГОВСКОГО ФОРУМА С
МЕЖДУНАРОДНЫМ УЧАСТИЕМ ХИРУРГИЯ
ПОВРЕЖДЕНИЙ",,,,"Аганесов, А.  Г."," КРИТИЧЕСКИЕ СОСТОЯНИЯ. СПАСИ И СОХРАНИ"" 25-26 МАЯ 2017""",67--71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35682265,"Вестник неврологии, психиатрии и нейрохирургии",,5,,2017,,https://elibrary.ru/item.asp?id=35682265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9703,,,,,,"ХИРУРГИЧЕСКОЕ ЛЕЧЕНИЕ ПОВРЕЖДЕНИЙ
ПОЗВОНОЧНИКА",https://elibrary.ru/item.asp?id=35255793,,,"Аганесов, А.  Г.; Хейло, А.  Л.; Алексанян, М.  М.; Макаров, С.  А.",Хирургия. Журнал им. Н.И. Пирогова,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,a35255793,,7,,37--40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
