,ts_c1,type_c24,type_c24 - label_c18,ws_c25,ws_c25 - label_c9,key1_c26,key1_c26 - label_c19,val1_c27,ref1_c46,ref1_c46 - val1_c27,key2_c28,key2_c28 - label_c19,val2_c29,ref2_c47,ref2_c47 - val2_c29,key3_c30,key3_c30 - label_c19,val3_c31,ref3_c49,ref3_c49 - val3_c31,key4_c32,key4_c32 - label_c19,val4_c33,ref4_c50,ref4_c50 - val4_c33,key5_c34,key5_c34 - label_c19,val5_c35,ref5_c52,ref5_c52 - val5_c35,key6_c36,key6_c36 - label_c19,val6_c37,ref6_c53,ref6_c53 - val6_c37,key7_c38,key7_c38 - label_c19,val7_c39,ref7_c54,ref7_c54 - val7_c39,key8_c40,key8_c40 - label_c19,val8_c41,ref8_c55,ref8_c55 - val8_c41,key9_c42,key9_c42 - label_c19,val9_c43,ref9_c56,ref9_c56 - val9_c43,key10_c57,key10_c57 - label_c19,val10_c58,ref10_c59,ref10_c59 - val10_c58,key11_c60,key11_c60 - label_c19,val11_c61,ref11_c62,ref11_c62 - val11_c61
271,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Anterior versus posterior approach in the treatment of chronic thoracolumbar fractures.,/pubmed/22310410,Chen ZW, Ding ZQ, Zhai WL, Lian KJ, Kang LQ, Guo LX, Liu H, Lin B.,Orthopedics. 2012 Feb 17;35(2):e219-24. doi: 10.3928/01477447-20120123-05.,Orthopedics.  2012,PubMed,citation,PMID:22310410,pubmed,22310410,create date:2012/02/09 | first author:Chen ZW",,,61,ККИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"[Effectiveness of different bone graft fusion ways in treating thoracolumbar burst fractures].,/pubmed/22229181,Luo Y, Deng Z, Chen J.,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi. 2011 Nov;25(11):1302-7. Chinese. ,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi.  2011,PubMed,citation,PMID:22229181,pubmed,22229181,create date:2012/01/11 | first author:Luo Y",,,60,РКИ,,,,35,Скрининг выполнен,,,,86,MEDLINE,"

PMID- 22229181
OWN - NLM
STAT- MEDLINE
DCOM- 20120510
LR  - 20120110
IS  - 1002-1892 (Print)
IS  - 1002-1892 (Linking)
VI  - 25
IP  - 11
DP  - 2011 Nov
TI  - [Effectiveness of different bone graft fusion ways in treating thoracolumbar
      burst fractures].
PG  - 1302-7
AB  - OBJECTIVE: To assess the effectiveness of different bone graft fusion ways in the
      treatment of thoracolumbar burst fractures. METHODS: Between June 2000 and June
      2009, 126 cases of thoracolumbar burst fractures were treated by one-stage
      posterior short segment internal fixation combined with bone graft fusion. All
      patients had acute spine and spinal injury at the levels of T11-L2, who were with
      different degrees of neural function injury (below Frankel grade D). The patients
      were randomly divided into 3 groups and were treated respectively by centrum
      combined with interbody bone graft fusion (group A), posterolateral bone graft
      fusion (group B), and ring bone graft fusion (group C) combined with posterior
      short segment pedicle instrumentation. The changes of the Cobb angle, correction 
      loss of Cobb angle, bone fusion rate, internal fixation failure rate, Oswestry
      Disability Index (ODI), and Frankel grade of the fracture vertebral were observed
      after operation to evaluate the effectiveness of different bone graft fusion
      ways. RESULTS: All 126 cases were followed up 24-32 months (mean, 28 months). The
      operation time and bleeding volume in group C were significantly larger than
      those in groups A and B (P < 0.05), but no significant difference was found
      between groups A and B (P > 0.05). At 2 years after operation and last follow-up,
      the Cobb angle and correction loss in group B were significantly larger than
      those in groups A and C (P < 0.05), but there was no significant difference
      between groups A and C (P > 0.05). At last follow-up, the bone fusion rate and
      internal fixation failure rate were 100% and 0 in group A, 78.6% and 21.4% in
      group B, and 97.5% and 0 in group C; there were significant differences between
      group B and groups A, C (P < 0.05), but no significant difference was found
      between groups A and C (P > 0.05). ODI and Frankel grade were obviously improved 
      after operation, showing significant differences between preoperation and last
      follow-up (P < 0.05) in 3 groups, between group B and groups A, C (P < 0.05), but
      no significant difference was found between groups A and C (P > 0.05).
      CONCLUSION: The centrum combined with interbody bone graft fusion is best in 3
      bone graft fusion ways because of its optimum bone fusion and according with
      human body biomechanics mechanism. Back out board bone graft fusion may not a
      appropriate bone fusion way because of its high internal fixation failure rate
      and not according with human body biomechanics mechanism. The ring bone graft
      fusion may not be an indispensable bone fusion way because of its common bone
      fusion ratio and lower cost-performance ratio.
FAU - Luo, Yi
AU  - Luo Y
AD  - Department of Spine Surgery, Xiangya Hospital, Central South University, Changsha
      Hunan 410008, PR China.
FAU - Deng, Zhangsheng
AU  - Deng Z
FAU - Chen, Jing
AU  - Chen J
LA  - chi
PT  - Comparative Study
PT  - English Abstract
PT  - Journal Article
PT  - Randomized Controlled Trial
PL  - China
TA  - Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi
JT  - Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi =
      Chinese journal of reparative and reconstructive surgery
JID - 9425194
SB  - IM
MH  - Adult
MH  - Aged
MH  - Bone Transplantation/*methods
MH  - Female
MH  - Fracture Fixation, Internal
MH  - Humans
MH  - Lumbar Vertebrae
MH  - Male
MH  - Middle Aged
MH  - Spinal Fractures/*surgery
MH  - Spinal Fusion/*methods
MH  - Thoracic Vertebrae
EDAT- 2012/01/11 06:00
MHDA- 2012/05/11 06:00
CRDT- 2012/01/11 06:00
PHST- 2012/01/11 06:00 [entrez]
PHST- 2012/01/11 06:00 [pubmed]
PHST- 2012/05/11 06:00 [medline]
PST - ppublish
SO  - Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi. 2011 Nov;25(11):1302-7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Combined posteroanterior fusion versus transforaminal lumbar interbody fusion (TLIF) in thoracolumbar burst fractures.,/pubmed/22227107,Schmid R, Lindtner RA, Lill M, Blauth M, Krappinger D, Kammerlander C.,Injury. 2012 Apr;43(4):475-9. doi: 10.1016/j.injury.2011.12.011. Epub 2012 Jan 9.,Injury.  2012,PubMed,citation,PMID:22227107,pubmed,22227107,create date:2012/01/10 | first author:Schmid R",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"[One-stage posterior approach spinal reconstruction for severe lumbar burst fracture].,/pubmed/22094030,Mao JP, Tian W, Liu B, Li Q, Hu L, Zhang GL, Yuan Q, Xing YG, Xing XB, Lang Z.,Zhonghua Yi Xue Za Zhi. 2011 Aug 23;91(31):2163-6. Chinese. ,Zhonghua Yi Xue Za Zhi.  2011,PubMed,citation,PMID:22094030,pubmed,22094030,create date:2011/11/19 | first author:Mao JP",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Nonoperative versus operative treatment for thoracolumbar burst fractures without neurologic deficit: a meta-analysis.,/pubmed/22057820,Gnanenthiran SR, Adie S, Harris IA.,Clin Orthop Relat Res. 2012 Feb;470(2):567-77. doi: 10.1007/s11999-011-2157-7. Epub 2011 Nov 5. Review.,Clin Orthop Relat Res.  2012,PubMed,citation,PMID:22057820 | PMCID:PMC3254755,pubmed,22057820,create date:2011/11/08 | first author:Gnanenthiran SR",,,75,СОНРИ,,,,35,Скрининг выполнен,,,,86,MEDLINE,"PMID- 22057820
OWN - NLM
STAT- MEDLINE
DCOM- 20120227
LR  - 20170220
IS  - 1528-1132 (Electronic)
IS  - 0009-921X (Linking)
VI  - 470
IP  - 2
DP  - 2012 Feb
TI  - Nonoperative versus operative treatment for thoracolumbar burst fractures without
      neurologic deficit: a meta-analysis.
PG  - 567-77
LID - 10.1007/s11999-011-2157-7 [doi]
AB  - BACKGROUND: Decision-making regarding nonoperative versus operative treatment of 
      patients with thoracolumbar burst fractures in the absence of neurologic deficits
      is controversial. Lack of evidence-based practice may result in patients being
      treated inappropriately and being exposed to unnecessary adverse consequences.
      PURPOSE: Using meta-analysis, we therefore compared pain (VAS) and function
      (Roland Morris Disability Questionnaire) in patients with thoracolumbar burst
      fractures without neurologic deficit treated nonoperatively and operatively.
      Secondary outcomes included return to work, radiographic progression of kyphosis,
      radiographic progression of spinal canal stenosis, complications, cost, and
      length of hospitalization. METHODS: We searched MEDLINE, EMBASE((R)), and the
      Cochrane Central Register of Controlled Trials for 'thoracic fractures', 'lumbar 
      fractures', 'non-operative', 'operative' and 'controlled clinical trials'. We
      established five criteria for inclusion. Data extraction and quality assessment
      were in accordance with Cochrane Collaboration guidelines. The main analyses were
      performed on individual patient data from randomized controlled trials.
      Sensitivity analyses were performed on VAS pain, Roland Morris Disability
      Questionnaire score, kyphosis, and return to work, including data from
      nonrandomized controlled trials and using fixed effects meta-analysis. We
      identified four trials, including two randomized controlled trials consisting of 
      79 patients (41 with operative treatment and 38 with nonoperative treatment). The
      mean followups ranged from 24 to 118 months. RESULTS: We found no between-group
      differences in baseline pain, kyphosis, and Roland Morris Disability
      Questionnaire scores. At last followup, there were no between-group differences
      in pain, Roland Morris Disability Questionnaire scores, and return to work rates.
      We found an improvement in kyphosis ranging from means of 12.8 masculine to 11
      masculine in the operative group, but surgery was associated with higher
      complication rates and costs. CONCLUSIONS: Operative management of thoracolumbar 
      burst fractures without neurologic deficit may improve residual kyphosis, but
      does not appear to improve pain or function at an average of 4 years after injury
      and is associated with higher complication rates and costs. LEVEL OF EVIDENCE:
      Level II, therapeutic study. See the Guidelines for Authors for a complete
      description of level of evidence.
FAU - Gnanenthiran, Sonali R
AU  - Gnanenthiran SR
AD  - South West Sydney Clinical School, University of New South Wales, Sydney, NSW,
      Australia.
FAU - Adie, Sam
AU  - Adie S
FAU - Harris, Ian A
AU  - Harris IA
LA  - eng
PT  - Journal Article
PT  - Meta-Analysis
PT  - Review
DEP - 20111105
PL  - United States
TA  - Clin Orthop Relat Res
JT  - Clinical orthopaedics and related research
JID - 0075674
SB  - AIM
SB  - IM
MH  - Adult
MH  - Back Pain/etiology
MH  - Disability Evaluation
MH  - Disease Progression
MH  - Evidence-Based Medicine
MH  - Female
MH  - Health Care Costs
MH  - Humans
MH  - Kyphosis/therapy
MH  - Length of Stay
MH  - Lumbar Vertebrae/diagnostic imaging/injuries/physiopathology/*surgery
MH  - Male
MH  - Middle Aged
MH  - *Orthopedic Procedures/adverse effects/economics
MH  - Pain Measurement
MH  - Pain, Postoperative/etiology
MH  - Radiography
MH  - Recovery of Function
MH  - Spinal Fractures/diagnosis/economics/physiopathology/surgery/*therapy
MH  - Spinal Stenosis/therapy
MH  - Thoracic Vertebrae/diagnostic imaging/injuries/physiopathology/*surgery
MH  - Time Factors
MH  - Treatment Outcome
PMC - PMC3254755
EDAT- 2011/11/08 06:00
MHDA- 2012/03/01 06:00
CRDT- 2011/11/08 06:00
PHST- 2011/03/23 00:00 [received]
PHST- 2011/10/17 00:00 [accepted]
PHST- 2011/11/08 06:00 [entrez]
PHST- 2011/11/08 06:00 [pubmed]
PHST- 2012/03/01 06:00 [medline]
AID - 10.1007/s11999-011-2157-7 [doi]
PST - ppublish
SO  - Clin Orthop Relat Res. 2012 Feb;470(2):567-77. doi: 10.1007/s11999-011-2157-7.
      Epub 2011 Nov 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Osteoporotic vertebral compression fractures: surgery versus non-operative management.,/pubmed/21986146,Tang H, Zhao J, Hao C.,J Int Med Res. 2011;39(4):1438-47.,J Int Med Res.  2011,PubMed,citation,PMID:21986146,pubmed,21986146,create date:2011/10/12 | first author:Tang H",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Retrospective comparison of H-graft and posterior vertebral graft procedures for the treatment of thoracolumbar burst fractures.,/pubmed/21956060,Huang F, Zhu QS, Li YN, Chen JG, Zhao DM, Yang Y, Wu H.,Orthopedics. 2011 Oct 5;34(10):e644-50. doi: 10.3928/01477447-20110826-05.,Orthopedics.  2011,PubMed,citation,PMID:21956060,pubmed,21956060,create date:2011/10/01 | first author:Huang F",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"[Expansive pedicle screws fixation combined with Wright artificial bone implantation for treatment of thoracolumbar burst fracture of the elderly patients].,/pubmed/21870390,Sun BF, Dong Y, Lü JY, Gu XJ.,Zhongguo Gu Shang. 2011 Jul;24(7):544-6. Chinese. ,Zhongguo Gu Shang.  2011,PubMed,citation,PMID:21870390,pubmed,21870390,create date:2011/08/30 | first author:Sun BF",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Posterior short-segmental fixation combined with intermediate screws vs conventional intersegmental fixation for monosegmental thoracolumbar fractures.,/pubmed/21815582,Tian JW, Wang L, Xia T, Liu CY, Zhao QH, Dong SH.,Orthopedics. 2011 Aug 8;34(8):e389-96. doi: 10.3928/01477447-20110627-08.,Orthopedics.  2011,PubMed,citation,PMID:21815582,pubmed,21815582,create date:2011/08/06 | first author:Tian JW",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Combat-related L3 fracture treated with L2-L4 posterior spinal fusion complicated by multidrug-resistant acinetobacter infection.,/pubmed/21784711,Dworak TC, Kang DG, Lehman RA Jr.,Spine J. 2012 Sep;12(9):864-6. doi: 10.1016/j.spinee.2011.05.019. Epub 2011 Jul 23. No abstract available. ,Spine J.  2012,PubMed,citation,PMID:21784711,pubmed,21784711,create date:2011/07/26 | first author:Dworak TC",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"[Effects of short- and long-segment posterior instrumentation on spinal canal remodeling in thoracolumbar vertebra burst fractures].,/pubmed/21644092,Tabak AY, Günay MC, Altay M, Türker HB.,Ulus Travma Acil Cerrahi Derg. 2011 Mar;17(2):141-8. Turkish. ,Ulus Travma Acil Cerrahi Derg.  2011,PubMed,citation,PMID:21644092,pubmed,21644092,create date:2011/06/07 | first author:Tabak AY",,,29,Исключено по полному тексту,,,,62,НРИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"[The treatment of monosegmental fixation and short-segment fixation on thoracolumbar burst fracture a retrospective controlled study].,/pubmed/21612696,Li XL, Zhou XG, Dong J, Fang TL, Lin H, Ma YQ, Li J.,Zhonghua Wai Ke Za Zhi. 2011 Apr 1;49(4):315-9. Chinese. ,Zhonghua Wai Ke Za Zhi.  2011,PubMed,citation,PMID:21612696,pubmed,21612696,create date:2011/05/27 | first author:Li XL",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"[Comparison between arthrodesis and non-arthrodesis in thoracic and lumbar spine fractures: two-year follow-up].,/pubmed/21548257,Alpizar-Aguirre A, Riquelme-Molina LM, Zárate-Kalfopulos B, Sánchez-Bringas G, Rosales-Olivares LM, Reyes-Sánchez A.,Acta Ortop Mex. 2011 Jan-Feb;25(1):39-44. Spanish. ,Acta Ortop Mex.  2011,PubMed,citation,PMID:21548257,pubmed,21548257,create date:2011/05/10 | first author:Alpizar-Aguirre A",,,62,НРИ,,,,29,Исключено по полному тексту,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"The effect of posterior instrumentation of the spine on canal dimensions and neurological recovery in thoracolumbar and lumbar burst fractures.,/pubmed/21547491,Mohanty SP, Bhat SN, Ishwara-Keerthi C.,Musculoskelet Surg. 2011 Aug;95(2):101-6. doi: 10.1007/s12306-011-0111-1. Epub 2011 Mar 10.,Musculoskelet Surg.  2011,PubMed,citation,PMID:21547491,pubmed,21547491,create date:2011/05/07 | first author:Mohanty SP",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Polymethylmethacrylate augmentation of the pedicle screw: the cement distribution in the vertebral body.,/pubmed/21533852,Hu MH, Wu HT, Chang MC, Yu WK, Wang ST, Liu CL.,Eur Spine J. 2011 Aug;20(8):1281-8. doi: 10.1007/s00586-011-1824-4. Epub 2011 May 1.,Eur Spine J.  2011,PubMed,citation,PMID:21533852 | PMCID:PMC3175839,pubmed,21533852,create date:2011/05/03 | first author:Hu MH",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Short or long fusion after thoracolumbar burst fractures does not alter selected gait parameters: a preliminary study.,/pubmed/21259336,Oken F, Yildirim O, Oken O, Gulcek M, Yavuzer G, Ucaner A.,J Orthop Res. 2011 Jun;29(6):915-8. doi: 10.1002/jor.21329. Epub 2011 Jan 21.,J Orthop Res.  2011,PubMed,citation,PMID:21259336,pubmed,21259336,create date:2011/01/25 | first author:Oken F",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Posterior approach for thoracolumbar corpectomies with expandable cage placement and circumferential arthrodesis: a multicenter case series of 67 patients.,/pubmed/21235298,Hofstetter CP, Chou D, Newman CB, Aryan HE, Girardi FP, Härtl R.,J Neurosurg Spine. 2011 Mar;14(3):388-97. doi: 10.3171/2010.11.SPINE09956. Epub 2011 Jan 14.,J Neurosurg Spine.  2011,PubMed,citation,PMID:21235298,pubmed,21235298,create date:2011/01/18 | first author:Hofstetter CP",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Surgical treatment of osteoporotic thoracolumbar compressive fractures with open vertebral cement augmentation of expandable pedicle screw fixation: a biomechanical study and a 2-year follow-up of 20 patients.,/pubmed/21067776,Wu ZX, Gao MX, Sang HX, Ma ZS, Cui G, Zhang Y, Lei W.,J Surg Res. 2012 Mar;173(1):91-8. doi: 10.1016/j.jss.2010.09.009. Epub 2010 Oct 19.,J Surg Res.  2012,PubMed,citation,PMID:21067776,pubmed,21067776,create date:2010/11/12 | first author:Wu ZX",,,60,РКИ,,,,28,Включено в подборку обзора,,,,86,MEDLINE,"PMID- 21067776
OWN - NLM
STAT- MEDLINE
DCOM- 20120430
LR  - 20161125
IS  - 1095-8673 (Electronic)
IS  - 0022-4804 (Linking)
VI  - 173
IP  - 1
DP  - 2012 Mar
TI  - Surgical treatment of osteoporotic thoracolumbar compressive fractures with open 
      vertebral cement augmentation of expandable pedicle screw fixation: a
      biomechanical study and a 2-year follow-up of 20 patients.
PG  - 91-8
LID - 10.1016/j.jss.2010.09.009 [doi]
AB  - BACKGROUND: The incidence of screw loosening increases significantly in elderly
      patients with severe osteoporosis. Open vertebral cement augmentation of
      expandable pedicle screw fixation may improve fixation strength in the
      osteoporotic vertebrae. MATERIALS AND METHODS: Twenty cadaveric vertebrae (L1-L5)
      were harvested from six osteoporotic lumbar spines. Axial pullout tests were
      performed to compare the maximum pullout strength (Fmax) of four methods: 1.
      Conventional pedicle screws (CPS), 2. Expandable pedicle screws (EPS), 3. Cement 
      augmentation of CPS (cemented-CPS), 4. Cement augmentation of EPS (cemented-EPS).
      Thirty-six consecutive patients with single-vertebral osteoporotic compressive
      fractures received posterior decompression and spinal fusion with cemented-CPS
      (16 cases) or cemented-EPS (20 cases). Plain film and/or CT scan were conducted
      to evaluate the spinal fusion and fixation effectiveness. RESULTS: The Fmax and
      energy absorption of cemented-EPS were significantly greater than three control
      groups. The mean BMD in the severe osteoporosis group was significantly lower
      than that in the osteoporosis group (t = 2.04, P = 0.036). In the osteoporosis
      group, cemented-EPS improved the Fmax by 43% and 21% over CPS and cemented-CPS
      group. In the severe osteoporosis group, cemented-EPS increased the Fmax by 59%, 
      22%, and 26% over CPS, EPS, and cemented-CPS, respectively. The clinical results 
      showed that all patients suffered from severe osteoporosis. Six months after
      operation, the JOA and VAS scores in cemented-EPS group improved from 11.4 +/-
      2.6 and 7.0 +/- 1.4 mm to 24.9 +/- 1.6 and 2.1 +/- 1.3 mm, respectively. No screw
      loosening occurred in the cemented-EPS group and spinal fusion was achieved. In
      the cemented-CPS group, four screws loosened (4.2%) according to the
      radiolucency. Six months after operation, the JOA and VAS scores improved from
      13.1 +/- 1.9 and 7.6 +/- 1.5 mm to 22.8 +/- 2.2 and 2.5 +/- 1.6 mm, respectively.
      No cement leaked into the spinal canal in both groups. CONCLUSIONS: Cemented-EPS 
      could increase fixation strength biomechanically. It could reduce the risks of
      screw loosening in patients with severe osteoporosis, requiring instrumented
      arthrodesis.
CI  - Crown Copyright (c) 2012. Published by Elsevier Inc. All rights reserved.
FAU - Wu, Zi-xiang
AU  - Wu ZX
AD  - Institute of Orthopedics, Xijing Hospital, Fourth Military Medical University,
      Xi'an, Shaanxi Province, PR China.
FAU - Gao, Ming-xuan
AU  - Gao MX
FAU - Sang, Hong-xun
AU  - Sang HX
FAU - Ma, Zhen-sheng
AU  - Ma ZS
FAU - Cui, Geng
AU  - Cui G
FAU - Zhang, Yang
AU  - Zhang Y
FAU - Lei, Wei
AU  - Lei W
LA  - eng
PT  - Journal Article
PT  - Randomized Controlled Trial
DEP - 20101019
PL  - United States
TA  - J Surg Res
JT  - The Journal of surgical research
JID - 0376340
RN  - 0 (Bone Cements)
RN  - 9011-14-7 (Polymethyl Methacrylate)
SB  - IM
MH  - Aged
MH  - Aged, 80 and over
MH  - Biomechanical Phenomena
MH  - *Bone Cements
MH  - *Bone Screws
MH  - Cadaver
MH  - Equipment Failure
MH  - Female
MH  - Follow-Up Studies
MH  - Fracture Fixation, Internal/instrumentation/*methods
MH  - Fractures, Compression/diagnostic imaging/*surgery
MH  - Humans
MH  - Internal Fixators
MH  - Lumbar Vertebrae/diagnostic imaging/*injuries/surgery
MH  - Male
MH  - Osteoporotic Fractures/diagnostic imaging/*surgery
MH  - Polymethyl Methacrylate
MH  - Radiography
MH  - Retrospective Studies
MH  - Spinal Fractures/diagnostic imaging/*surgery
MH  - Thoracic Vertebrae/diagnostic imaging/*injuries/surgery
MH  - Treatment Outcome
EDAT- 2010/11/12 06:00
MHDA- 2012/05/01 06:00
CRDT- 2010/11/12 06:00
PHST- 2010/06/22 00:00 [received]
PHST- 2010/08/17 00:00 [revised]
PHST- 2010/09/07 00:00 [accepted]
PHST- 2010/11/12 06:00 [entrez]
PHST- 2010/11/12 06:00 [pubmed]
PHST- 2012/05/01 06:00 [medline]
AID - S0022-4804(10)00766-3 [pii]
AID - 10.1016/j.jss.2010.09.009 [doi]
PST - ppublish
SO  - J Surg Res. 2012 Mar;173(1):91-8. doi: 10.1016/j.jss.2010.09.009. Epub 2010 Oct
      19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2018-06-25 16:40,2,Библиографическая запись,90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,3,Библиографическая запись,"Results of 'two above- one below approach' with intermediate screws at the fracture site in the surgical treatment of thoracolumbar burst fractures.,/pubmed/21063148,Uzumcugil O, Dogan A, Yetis M, Yalcinkaya M, Caniklioglu M.,Kobe J Med Sci. 2010 Sep 28;56(2):E67-78.,Kobe J Med Sci.  2010,PubMed,citation,PMID:21063148,pubmed,21063148,create date:2010/11/11 | first author:Uzumcugil O",,,62,НРИ,,,,30,Исключено при скрининге,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
