BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,,a35256723,"Горбачева, Е.  А.","ОЦЕНКА ЭФФЕКТИВНОСТИ МЕТОДА
КИНЕЗИОТЕЙПИРОВАНИЯ ДЛЯ
РАБИЛИТАЦИИ НЕКОТОЫХ
ПАТОЛОГИЧЕСКИХ СОСТОЯНИЙ
ОПОРНО-ДВИГАТЕЛЬНОЙ СИСТЕМЫ",Смоленский медицинский альманах,,1,,68--71,2018,,,https://elibrary.ru/item.asp?id=35256723,,,,,,,,,,,,,,,,,
7,,a35605949,"Гордеев, М.  Л.; Наймушин, А.  В.; Ташханов, Д.  М.; Баутин, А.  Е.; Бендов, Д.  В.; Боткин, Д.  А.; Беспалов, А.  А.; Пискарева, М.  А.; Шаталкин, И.  В.; Гладилова, И.  В.; Нефёдова, И.  Н.; Дюжилова, О.  И.","АНЕСТЕЗИОЛОГИЧЕСКОЕ ОБЕСПЕЧЕНИЕИ
ИНТЕНСИВНАЯ ТЕРАПИЯ ПРИ
МНОЖЕСТВЕННОМ СКВОЗНОМ ПРОНИКАЮЩЕМ
РАНЕНИИ ГРУДИС ПОВРЕЖДЕНИЕМ СЕРДЦА
И АОРТЫ(КЛИНИЧЕСКИЙ СЛУЧАЙ)",Экстренная медицина,7,3,,328--336,2018,,,https://elibrary.ru/item.asp?id=35605949,,,,,,,,,,,,,,,,,
7,,a35186452,"Гордеев, М.  Л.; Успенский, В.  Е.; Ибрагимов, А.  Н.; Щербинин, Т.  С.; Баканов, А.  Ю.; Сухова, И.  В.; Зверев, Д.  А.; Новиков, В.  К.","СТЕНОЗЫ КОРОНАРНЫХ АРТЕРИЙ DE
NOVO ПОСЛЕ ПРОТЕЗИРОВАНИЯ КОРНЯ
АОРТЫ",Кардиология и сердечно-сосудистая хирургия,11,3,,24--29,2018,,,https://elibrary.ru/item.asp?id=35186452,,,,,,,,,,,,,,,,,
7,,a35122848,"Горобец, С.  М.","ПОКАЗАТЕЛИ ДЕНСИТОМЕТРИИ У
БОЛЬНЫХ ПАРОДОНТИТОМ НА ФОНЕ
ТРАВМАТИЧЕСКОЙ БОЛЕЗНИ СПИННОГО
МОЗГА",Вестник физиотерапии и курортологии,24,1,,109--109a,2018,,,https://elibrary.ru/item.asp?id=35122848,,,,,,,,,,,,,,,,,
7,,a36893765,"Горобец, С.  М.","ПОКАЗАТЕЛИ
СТРУКТУРНО-ФУНКЦИОНАЛЬНОГО
СОСТОЯНИЯ КОСТНОЙ ТКАНИ У БОЛЬНЫХ
ПАРОДОНТИТОМ ПРИ ТРАВМАТИЧЕСКОЙ
БОЛЕЗНИ СПИННОГО МОЗГА",Стоматология,97,6,,41,2018,,,https://elibrary.ru/item.asp?id=36893765,,,,,,,,,,,,,,,,,
7,,a36894271,"Григович, И.  Н.; Пяттоев, Ю.  Г.","ЗАЧЕМ ДЕТСКОМУ ХИРУРГУ НУЖЕН
ПЕДИАТР?",Детская хирургия,23,1,,24,2019,,,https://elibrary.ru/item.asp?id=36894271,,,,,,,,,,,,,,,,,
7,,a36811081,"Григорян, Э.  Н.; Новикова, Ю.  П.; Поплинская, В.  А.","СТРУКТУРНЫЕ ИЗМЕНЕНИЯ В СЕТЧАТКЕ
НИЗШИХ И ВЫСШИХ ПОЗВОНОЧНЫХ ПРИ
ТКАНЕВОМ КУЛЬТИВИРОВАНИИ IN VITRO
И ПОВРЕЖДЕНИИ IN VIVO",Российский общенациональный офтальмологический форум,2,,,791--795,2015,,,https://elibrary.ru/item.asp?id=36811081,,,,,,,,,,,,,,,,,
7,,a36742961,"Гринь, A.  А.; Синкин, М.  В.; Алейникова, И.  Б.; Кордонский, А.  Ю.","ИНТРАОПЕРАЦИОННЫЙ
НЕЙРОФИЗИОЛОГИЧЕСКИЙ МОНИТОРИНГ
ПРИ УДАЛЕНИИ ОПУХОЛИ ПОЗВОНОЧНИКА
С ПАРАВЕРТЕБРАЛЬНЫМ
РАСПРОСТРАНЕНИЕМ (СЛУЧАЙ ИЗ
ПРАКТИКИ)",Нейрохирургия,20,4,,75--79,2018,,,https://elibrary.ru/item.asp?id=36742961,,,,,,,,,,,,,,,,,
7,,a36657327,"Гринь, А.  А.; Басков, А.  В.; Дзукаев, Д.  Н.","О НЕДОСТАТКАХ ЛЕЧЕНИЯ ОСТРОЙ
ТРАВМЫ ПОЗВОНОЧНИКА И СПИННОГО
МОЗГА В МОСКВЕ",Нейрохирургия,,1,,72,2002,,,https://elibrary.ru/item.asp?id=36657327,,,,,,,,,,,,,,,,,
7,,a35265378,"Гринь, А.  А.; Коваленко, Р.  А.; Коновалов, Н.  А.; Ефимов, Д.  В.; Антонов, А.  В.; Годков, И.  М.","ПОВРЕЖДЕНИЯ СТРУКТУР ЗАБРЮШИННОГО
ПРОСТРАНСТВА И ОРГАНОВ БРЮШНОЙ
ПОЛОСТИ ПРИ ОПЕРАЦИЯХ НА
ПОЯСНИЧНОМ ОТДЕЛЕ ПОЗВОНОЧНИКА",Нейрохирургия,20,2,,35--42,2018,,,https://elibrary.ru/item.asp?id=35265378,,,,,,,,,,,,,,,,,
7,,a35589813,"Гринь, А.  А.; Кордонский, А.  Ю.; Львов, И.  С.; Кайков, А.  К.; Сытник, А.  В.; Богданова, О.  Ю.","ФАКТОР ВРЕМЕНИ В ХИРУРГИИ
ПОЗВОНОЧНО-СПИНАЛЬНОЙ ТРАВМЫ
(ОБЗОР ЛИТЕРАТУРЫ)",Нейрохирургия,20,3,,81--90,2018,,,https://elibrary.ru/item.asp?id=35589813,,,,,,,,,,,,,,,,,
7,,a35682267,"Гринь, А.  А.; Фарйон, А.  О.; Сидоряк, Н.  П.; Базаров, А.  Ю.; Сергеев, К.  С.; Хименко, С.  М.","ОСОБЕННОСТИ ХИРУРГИЧЕСКОГО
ЛЕЧЕНИЯ СОЧЕТАННЫХ ПОВРЕЖДЕНИЙ
ТАЗА И ПОЗВОНОЧНИКА","Вестник неврологии, психиатрии и нейрохирургии",,5,,77--78,2017,,,https://elibrary.ru/item.asp?id=35682267,,,,,,,,,,,,,,,,,
7,,a35682272,"Грубер, Н.  М.; Валеев, Е.  К.; Шульман, А.  А.","ПАТОГЕНЕТИЧЕСКИЕ МЕХАНИЗМЫ
КОСТНОЙ РЕГЕНЕРАЦИИ ПРИ
ПОЗВОНОЧНО-СПИНАЛЬНОЙ ТРАВМЕ","Вестник неврологии, психиатрии и нейрохирургии",,5,,85--86,2017,,,https://elibrary.ru/item.asp?id=35682272,,,,,,,,,,,,,,,,,
7,,a36300548,"Грушка, Г.  В.; Ткаченко, Г.  И.; Демьяненко, В.  В.; Паскевич, О.  И.; Васильев, Л.  Я.; Астапьева, О.  М.","ОСТЕОСЦИНТИГРАФИЯ В ОЦЕНКЕ
МЕТАСТАТИЧЕСКОГО ПОРАЖЕНИЯ КОСТНОЙ
СИСТЕМЫ",Український радіологічний журнал,15,4,,426--430,2007,,,https://elibrary.ru/item.asp?id=36300548,,,,,,,,,,,,,,,,,
7,,a35582931,"Губин, А.  В.; Бурцев, А.  В.; Рябых, С.  О.; Климов, В.  С.; Евсюков, А.  В.; Ивлиев, Д.  С.","АНАЛИЗ ВИНТОВОЙ ФИКСАЦИИ С1, С2
ПРИ АТЛАНТОАКСИАЛЬНОЙ
НЕСТАБИЛЬНОСТИ У ПАЦИЕНТОВ РАЗНЫХ
ВОЗРАСТНЫХ ГРУПП",Хирургия позвоночника,15,3,,6--12,2018,,,https://elibrary.ru/item.asp?id=35582931,,,,,,,,,,,,,,,,,
7,,a36690661,"Гуляев, Д.  А.; Годанюк, Д.  С.; Каурова, Т.  А.; Красношлык, П.  В.; Майков, С.  В.","МИГРАЦИЯ СПИЦЫ КИРШНЕРА В
ПОЗВОНОЧНЫЙ КАНАЛ ПОСЛЕ ФИКСАЦИИ
АКРОМИАЛЬНО-КЛЮЧИЧНОГО СОЧЛЕНЕНИЯ
(ОБЗОР ЛИТЕРАТУРЫ И КЛИНИЧЕСКОЕ
НАБЛЮДЕНИЕ)",Травматология и ортопедия России,24,4,,121--128,2018,,,https://elibrary.ru/item.asp?id=36690661,,,,,,,,,,,,,,,,,
7,,a36633103,"Гуляев, Д.  А.; Красношлык, П.  В.; Белов, И.  Ю.; Бажанов, С.  П.; Примак, Н.  А.; Иванов, Д.  С.; Годанюк, Д.  С.; Чиркин, В.  Ю.; Петров, А.  А.; Винников, В.  М.; Каурова, Т.  А.","ОСОБЕННОСТИ ХИРУРГИЧЕСКОГО
ЛЕЧЕНИЯ МЕНИНГИОМ БОЛЬШОГО
ЗАТЫЛОЧНОГО ОТВЕРСТИЯ",Medline.ru. Российский биомедицинский журнал,18,2,,457--473,2017,,,https://elibrary.ru/item.asp?id=36633103,,,,,,,,,,,,,,,,,
7,,a35198390,"Гумарова, Л.  Ш.; Бодрова, Р.  А.","КОМПЛЕКСНЫЙ ПОДХОД В КОРРЕКЦИИ
НЕДОСТАТОЧНОСТИ ПИТАНИЯ У ЛИЦ С
ТРАВМАТИЧЕСКОЙ БОЛЕЗНЬЮ СПИННОГО
МОЗГА",Медицина (Алматы),,5,,51--56,2018,,,https://elibrary.ru/item.asp?id=35198390,,,,,,,,,,,,,,,,,
7,,a36487128,"Гумарова, Л.  Ш.; Бодрова, Р.  А.; Назипова, А.  Я.; Бусургина, Е.  А.","ПРИНИЦИПЫ КОМПЛЕКСНОЙ КОРРЕКЦИИ
НАРУШЕНИЙ НУТРИТИВНОГО СТАТУСА У
ЛИЦ С ТРАВМАТИЧЕСКОЙ БОЛЕЗНЬЮ
СПИННОГО МОЗГА",Вестник современной клинической медицины,11,5,,30--34,2018,,,https://elibrary.ru/item.asp?id=36487128,,,,,,,,,,,,,,,,,
7,,a37154863,"Давыдова, Н.  С.; Скороходова, Л.  А.; Лукин, С.  Ю.; Беседина, Е.  А.; Смелая, Т.  В.; Болтаев, П.  Г.","КЛИНИКО-ЭКОНОМИЧЕСКАЯ ЗНАЧИМОСТЬ
МОНИТОРИНГА СОСТОЯНИЯ СИСТЕМЫ
ДЫХАНИЯ ПРИ АКТИВНОЙ ТАКТИКЕ
ЛЕЧЕНИЯ ПАЦИЕНТОВ С ТЯЖЕЛОЙ
ТРАВМОЙ ГРУДНОЙ КЛЕТКИ",Вестник Уральской медицинской академической науки,15,5,,658--667,2018,,,https://elibrary.ru/item.asp?id=37154863,,,,,,,,,,,,,,,,,
7,,a35133089,"Даутова, А.  А.; Митрофанова, Л.  В.","КОМПРЕССИОННЫЕ ПЕРЕЛОМЫ
ПОЗВОНОЧНИКА У ДЕТЕЙ В УДМУРТСКОЙ
РЕСПУБЛИКЕ",Форум молодых ученых,,4,,399--401,2018,,,https://elibrary.ru/item.asp?id=35133089,,,,,,,,,,,,,,,,,
7,,a37222954,"Дегтярёв, Е.  Н.; Шифман, Е.  М.; Жуковец, И.  В.; Ходус, С.  В.","ВЛИЯНИЕ ДОЗЫ ОКСИТОЦИНА НА
РАЗВИТИЕ ОБРАТИМОЙ ИШЕМИИ МИОКАРДА
У РОЖЕНИЦ РАЗНЫХ ВОЗРАСТНЫХ ГРУПП
ВО ВРЕМЯ ОПЕРАЦИИ КЕСАРЕВА
СЕЧЕНИЯ",Дальневосточный медицинский журнал,,1,,80--84,2019,,,https://elibrary.ru/item.asp?id=37222954,,,,,,,,,,,,,,,,,
7,,a36285118,"Дегтярев, Е.  Н.; Шифман, Е.  М.; Тихова, Г.  П.; Куликов, А.  В.","ВЛИЯНИЕ ДОЗЫ ОКСИТОЦИНА НА
ИЗМЕНЕНИЕ СЕГМЕНТА ST,
АРТЕРИАЛЬНУЮ ГИПОТОНИЮ И ВЕЛИЧИНУ
КРОВОПОТЕРИ У РОЖЕНИЦ РАЗНЫХ
ВОЗРАСТНЫХ ГРУПП ВО ВРЕМЯ ОПЕРАЦИИ
КЕСАРЕВА СЕЧЕНИЯ",Вестник интенсивной терапии имени А.И. Салтанова,,3,,77--86,2018,,,https://elibrary.ru/item.asp?id=36285118,,,,,,,,,,,,,,,,,
7,,a36894275,"Дементьев, А.  П.; Костерина, А.  М.; Сафронов, Б.  Г.; Сухарев, С.  Г.","СЛУЧАЙ ТРАВМАТИЧЕСКОГО РАЗРЫВА
ПРАВОГО КУПОЛА ДИАФРАГМЫ У РЕБЕНКА
ПРИ ДТП",Детская хирургия,23,1,,26,2019,,,https://elibrary.ru/item.asp?id=36894275,,,,,,,,,,,,,,,,,
7,,a37327479,"Десятерик, В.И.; Михно, С.П.; Дунай, О.Г.; Полищук, Л.Н.; Аксентьев, С.А.","ДИАГНОСТИЧЕСКИЕ АСПЕКТЫ
СОЧЕТАННОЙ ТРАВМЫ ГРУДНОЙ КЛЕТКИ И
ЖИВОТА",Скорая медицинская помощь,5,3,,155--156,2004,,,https://elibrary.ru/item.asp?id=37327479,,,,,,,,,,,,,,,,,
7,,a35085880,"Дженбаев, Е.  С.; Белов, Г.  В.; Махмадев, А.  К.","ЭФФЕКТИВНОСТЬ САНАТОРНОЙ
РЕАБИЛИТАЦИИ БОЛЬНЫХ С
ПОВРЕЖДЕНИЯМИ ПОЗВОНОЧНИКА В
УСЛОВИЯХ СРЕДНЕГОРЬЯ С ПОЗИЦИЙ
МЕЖДУНАРОДНОЙ КЛАССИФИКАЦИИ
ФУНКЦИОНИРОВАНИЯ, ОГРАНИЧЕНИЙ
ЖИЗНЕДЕЯТЕЛЬНОСТИ И ЗДОРОВЬЯ",Медицина Кыргызстана,1,4,,39--45,2017,,,https://elibrary.ru/item.asp?id=35085880,,,,,,,,,,,,,,,,,
7,,a36990656,"Дидиченко, М.  П.; Ягужинская, И.  И.","ДИССЕКЦИЯ И ТРАВМЫ ПОЗВОНОЧНЫХ
АРТЕРИЙ, СПОСОБСТВУЮЩИЕ РАЗВИТИЮ
ВЕРТЕБРАЛЬНО-БАЗИЛЛЯРНОЙ
НЕДОСТАТОЧНОСТИ",Colloquium-journal,,3,,55--57,2019,,,https://elibrary.ru/item.asp?id=36990656,,,,,,,,,,,,,,,,,
7,,a35325117,"Дмитращенко, А.  А.; Ахиев, М.  И.; Кляншин, А.  А.","ВОЗМОЖНОСТИ КОМПЬЮТЕРНОЙ
ТОМОГРАФИИ В ХАРАКТЕРИСТИКЕ
СИНДРОМОВ ЦЕРВИКАЛЬНОЙ ТРАВМЫ",Радиология - практика,,4,,18--30,2018,,,https://elibrary.ru/item.asp?id=35325117,,,,,,,,,,,,,,,,,
7,,a35265379,"Дмитриев, А.  Б.; Рзаев, Д.  А.; Денисова, Н.  П.","ПОСТОЯННАЯ ЭПИДУРАЛЬНАЯ
СТИМУЛЯЦИЯ СПИННОГО МОЗГА В
ЛЕЧЕНИИ ФАРМАКОРЕЗИСТЕНТНОЙ БОЛИ У
ПАЦИЕНТОВ С СИНДРОМОМ НЕУДАЧНОЙ
ОПЕРАЦИИ НА ПОЗВОНОЧНИКЕ",Нейрохирургия,20,2,,43--49,2018,,,https://elibrary.ru/item.asp?id=35265379,,,,,,,,,,,,,,,,,
7,,a36335567,"Доль, А.  В.; Доль, Е.  С.; Иванов, Д.  В.","БИОМЕХАНИЧЕСКОЕ МОДЕЛИРОВАНИЕ
ВАРИАНТОВ ХИРУРГИЧЕСКОГО
РЕКОНСТРУКТИВНОГО ЛЕЧЕНИЯ
СПОНДИЛОЛИСТЕЗА ПОЗВОНОЧНИКА НА
УРОВНЕ L4-L5",Российский журнал биомеханики,22,1,,31--44,2018,,,https://elibrary.ru/item.asp?id=36335567,,,,,,,,,,,,,,,,,
7,,a35094950,"Доронцев, А.  В.; Козлятников, О.  А.; Каширский, А.  В.","СТРУКТУРА СПОРТИВНОГО ТРАВМАТИЗМА
У ДЕВОЧЕК 12 - 14 ЛЕТ,
ЗАНИМАЮЩИХСЯ СПОРТИВНОЙ
ГИМНАСТИКОЙ",Ученые записки университета им. П.Ф. Лесгафта,,4,,77--82,2018,,,https://elibrary.ru/item.asp?id=35094950,,,,,,,,,,,,,,,,,
7,,a36313064,"Дочилова, Е.  С.; Чернигова, С.  В.; Чернигов, Ю.  В.","МОРФОЛОГИЧЕСКОЕ И
МОРФОМЕТРИЧЕСКОЕ ОБОСНОВАНИЕ
УСТАНОВКИ ПЕДИКУЛЯРНЫХ ВИНТОВ В
ПОЯСНИЧНОМ ОТДЕЛЕ ПОЗВОНОЧНИКА",Вестник Ульяновской государственной сельскохозяйственной академии,,3,,117--121,2018,,,https://elibrary.ru/item.asp?id=36313064,,,,,,,,,,,,,,,,,
7,,a35663869,"Древаль, А.  В.; Будул, Н.  А.; Комердус, И.  В.; Бритвин, Т.  А.; Глазков, А.  А.","ОСОБЕННОСТИ ПОБОЧНЫХ ЭФФЕКТОВ
ГЛЮКОКОРТИКОИДОВ В СРАВНЕНИИ С
ПРОЯВЛЕНИЯМИ ЭНДОГЕННОГО
ГИПЕРКОРТИЦИЗМА",РМЖ,26,1,,12--16,2018,,,https://elibrary.ru/item.asp?id=35663869,,,,,,,,,,,,,,,,,
7,,a35590891,"Дробко, И.  Г.","БОЛЬ В СПИНЕ У ПАЦИЕНТОВ ПОЖИЛОГО
ВОЗРАСТА",Справочник врача общей практики,,3,,59--65,2018,,,https://elibrary.ru/item.asp?id=35590891,,,,,,,,,,,,,,,,,
7,,a35611643,"Дулаев, А.  К.; Кажанов, И.  В.; Мануковский, В.  А.; Петров, А.  В.; Микитюк, С.  И.","ПОЯСНИЧНО-ТАЗОВАЯ
ТРАНСПЕДИКУЛЯРНАЯ ФИКСАЦИЯ",Гений ортопедии,24,3,,282--289,2018,,,https://elibrary.ru/item.asp?id=35611643,,,,,,,,,,,,,,,,,
7,,a35212902,"Дулаев, А.  К.; Кажанов, И.  В.; Преснов, Р.  А.; Микитюк, С.  И.","ТРИАНГУЛЯРНЫЙ ОСТЕОСИНТЕЗ
ПЕРЕЛОМОВ КРЕСТЦА ПРИ
ВЕРТИКАЛЬНО-НЕСТАБИЛЬНЫХ
ПОВРЕЖДЕНИЯХ ТАЗА",Политравма,,2,,17--26,2018,,,https://elibrary.ru/item.asp?id=35212902,,,,,,,,,,,,,,,,,
7,,a36533663,"Дулаев, А.  К.; Мануковский, В.  А.; Аликов, З.  Ю.; Горанчук, Д.  В.; Дулаева, Н.  М.; Абуков, Д.  Н.; Булахтин, Ю.  А.; Мушкин, М.  А.","ДИАГНОСТИКА И ХИРУРГИЧЕСКОЕ
ЛЕЧЕНИЕ НЕБЛАГОПРИЯТНЫХ
ПОСЛЕДСТВИЙ
ПОЗВОНОЧНО-СПИННОМОЗГОВОЙ ТРАВМЫ",Хирургия позвоночника,,1,,71--77,2014,,,https://elibrary.ru/item.asp?id=36533663,,,,,,,,,,,,,,,,,
7,,a37308819,"Дулаев, А.  К.; Мануковский, В.  А.; Кутянов, Д.  И.; Искровский, С.  В.; Брижань, С.  Л.; Желнов, П.  В.; Дулаева, Н.  М.","ЭФФЕКТИВНОСТЬ ЦЕНТРАЛИЗОВАННОЙ
СИСТЕМЫ ОКАЗАНИЯ
СПЕЦИАЛИЗИРОВАННОЙ МЕДИЦИНСКОЙ
ПОМОЩИ ПРИ ОСТРОЙ
ПОЗВОНОЧНО-СПИННОМОЗГОВОЙ ТРАВМЕ В
СОВРЕМЕННОМ МЕГАПОЛИСЕ",Хирургия позвоночника,16,1,,8--15,2019,,,https://elibrary.ru/item.asp?id=37308819,,,,,,,,,,,,,,,,,
7,,a35690058,"Дулаев, А.  К.; Мануковский, В.  А.; Кутянов, Д.  И.; Паршин, М.  С.; Дулаев, Д.  В.; Желнов, П.  В.; Аликов, З.  Ю.","ПОЗВОНОЧНО-СПИННОМОЗГОВАЯ ТРАВМА
В СОВРЕМЕННОМ ОТЕЧЕСТВЕННОМ
МЕГАПОЛИСЕ: ЧАСТОТА, СТРУКТУРА И
ПОТРЕБНОСТЬ В КОЕЧНОМ ФОНДЕ
ГОРОДСКОГО ЗДРАВООХРАНЕНИЯ",Скорая медицинская помощь,19,3,,13--18,2018,,,https://elibrary.ru/item.asp?id=35690058,,,,,,,,,,,,,,,,,
7,,a36386905,"Дунаєв, А.  В.; Григоров, С.  М.; Ольховський, В.  О.; Шкляр, А.  С.","ПАТОГЕНЕТИЧНЕ ОБГРУНТУВАННЯ
ОЦІНКИ СТУПЕНЯ ТЯЖКОСТІ ТІЛЕСНИХ
ПОШКОДЖЕНЬ ЛИЦЕВОГО СКЕЛЕТА ТА
ШИЙНОГО ВІДДІЛУ ХРЕБТА",Вестник проблем биологии и медицины,2,4,,33--34,2013,,,https://elibrary.ru/item.asp?id=36386905,,,,,,,,,,,,,,,,,
7,,a36962052,"Дунаєв, А.  В.; Григоров, С.  М.; Ольховський, В.  О.; Шкляр, А.  С.","ПАТОГЕНЕТИЧНЕ ОБГРУНТУВАННЯ
ОЦІНКИ СТУПЕНЯ ТЯЖКОСТІ ТІЛЕСНИХ
ПОШКОДЖЕНЬ ЛИЦЕВОГО СКЕЛЕТА ТА
ШИЙНОГО ВІДДІЛУ ХРЕБТА",Вестник проблем биологии и медицины,2,4,,33--34,2012,,,https://elibrary.ru/item.asp?id=36962052,,,,,,,,,,,,,,,,,
7,,a36681164,"Дымнова, С.  Е.; Сергеева, В.  В.; Родионова, А.  Ю.","КАЧЕСТВО ЖИЗНИ И ОСНОВНЫЕ АСПЕКТЫ
РЕАБИЛИТАЦИИ БОЛЬНЫХ ПОЖИЛОГО
ВОЗРАСТА С ОСТЕОПОРОЗОМ",Вестник современной клинической медицины,11,6,,62--67,2018,,,https://elibrary.ru/item.asp?id=36681164,,,,,,,,,,,,,,,,,
7,,a36452733,"Ежов, В.  В.; Васенко, В.  И.; Маркович, О.  В.","ОБЗОР РЕЗУЛЬТАТОВ ПРИМЕНЕНИЯ
СОПОЧНЫХ ГРЯЗЕЙ В МЕДИЦИНСКОЙ
ПРАКТИКЕ",Вестник физиотерапии и курортологии,24,3,,121--127,2018,,,https://elibrary.ru/item.asp?id=36452733,,,,,,,,,,,,,,,,,
7,,a36681153,"Ермаков, С.  В.; Можейко, Р.  А.; Батурин, В.  А.; Белоконь, О.  С.","УРОВЕНЬ АУТОАНТИТЕЛ К БЕЛКУ S-100
- ВОЗМОЖНЫЙ ПРЕДИКТОР ИСХОДОВ
ОСТРОГО НАРУШЕНИЯ МОЗГОВОГО
КРОВООБРАЩЕНИЯ",Вестник современной клинической медицины,11,6,,11--15,2018,,,https://elibrary.ru/item.asp?id=36681153,,,,,,,,,,,,,,,,,
7,,a35620095,"Жардымова, А.  А.","ПРОГРЕССИВНЫЕ МЕТОДЫ ЛЕЧЕНИЯ
ОСТЕОМИЕЛИТА. (КЛИНИЧЕСКИЙ
СЛУЧАЙ)",Международный студенческий научный вестник,,5,,67,2018,,,https://elibrary.ru/item.asp?id=35620095,,,,,,,,,,,,,,,,,
7,,a35289151,"Жарова, Е.  Ю.","ДИНАМИКА ОСТРОТЫ ЗРЕНИЯ У
ШКОЛЬНИКОВ С ПАТОЛОГИЕЙ НЕРВНОЙ
СИСТЕМЫ",Дневник казанской медицинской школы,,2,,88--93,2018,,,https://elibrary.ru/item.asp?id=35289151,,,,,,,,,,,,,,,,,
7,,a36407121,"Жетписбаев, Б.  Б.; Керимбаев, Т.  Т.; Алейников, В.  Г.; Кожахметова, А.  О.","ПАТОМОРФОЛОГИЯ РЕГЕНЕРАЦИИ
СПИННОМОЗГОВОЙ ТРАВМЫ В
ЭКСПЕРИМЕНТЕ У КРЫС",Нейрохирургия и неврология Казахстана,,4,,20--23,2017,,,https://elibrary.ru/item.asp?id=36407121,,,,,,,,,,,,,,,,,
7,,a36414843,"Жетписбаев, Б.  Б.; Керимбаев, Т.  Т.; Алейников, В.  Г.; Кожахметова, А.  О.; Умбеталиев, С.  Г.; Усеева, М.  С.","КЛИНИКО-МОРФОЛОГИЧЕСКАЯ ОЦЕНКА
РЕГЕНЕРАЦИИ СПИННОМОЗГОВОЙ ТРАВМЫ
В ЭКСПЕРИМЕНТЕ У КРЫС",Нейрохирургия и неврология Казахстана,,2,,37--42,2018,,,https://elibrary.ru/item.asp?id=36414843,,,,,,,,,,,,,,,,,
7,,a35226649,"Жуков, В.  С.; Капустин, Н.  П.; Антоненко, Ф.  Ф.","ПОДКОЖНЫЙ ПОПЕРЕЧНЫЙ РАЗРЫВ
ДВЕНАДЦАТИПЕРСТНОЙ КИШКИ У
ТРЕХЛЕТНЕГО РЕБЕНКА",Клiнiчна хiрургiя,,6,,80,1977,,,https://elibrary.ru/item.asp?id=35226649,,,,,,,,,,,,,,,,,
7,,a35225113,"Журавский, А.  Ю.; Бодяков, М.  И.","ДИНАМИКА РЕЗУЛЬТАТОВ
ИСПОЛЬЗОВАНИЯ КОМПЛЕКСНОЙ
ПРОГРАММЫ РЕАБИЛИТАЦИИ ДЛЯ
КОРРЕКЦИИ ОСАНКИ У ЛЮДЕЙ С
АМПУТАЦИЕЙ НИЖНИХ КОНЕЧНОСТЕЙ","Здоровье человека, теория и методика физической культуры и спорта",,2,,113--127,2018,,,https://elibrary.ru/item.asp?id=35225113,,,,,,,,,,,,,,,,,
7,,a36313746,"Замерград, М.  В.; Грачев, С.  П.; Гергова, А.  А.","ОСТРОЕ ВЕСТИБУЛЯРНОЕ
ГОЛОВОКРУЖЕНИЕ В ПОЖИЛОМ ВОЗРАСТЕ:
ИНСУЛЬТ ИЛИ ПЕРИФЕРИЧЕСКАЯ
ВЕСТИБУЛОПАТИЯ",Журнал неврологии и психиатрии им. C.C. Корсакова,118,6,,46--49,2018,,,https://elibrary.ru/item.asp?id=36313746,,,,,,,,,,,,,,,,,
7,,a37081984,"Захарова, Ю.  С.; Мендиканова, А.  А.; Чернышкова, М.  А.","НЕЙРОФИБРОМАТОЗ В ПРАКТИКЕ
ТЕРАПЕВТА (КЛИНИЧЕСКОЕ
НАБЛЮДЕНИЕ)",Бюллетень медицинских интернет-конференций,8,8,,358,2018,,,https://elibrary.ru/item.asp?id=37081984,,,,,,,,,,,,,,,,,
7,,a35684189,"Зейтц, Р.; Пруст, А.; Алсон, Р.","РУКОВОДСТВО ПО НЕОТЛОЖНОЙ
ТРАВМАТОЛОГИЧЕСКОЙ ПОМОЩИ ITLS.
ЧАСТЬ 8. НАВЫКИ ОКАЗАНИЯ ПОМОЩИ
ПРИ ТРАВМАХ ГРУДНОЙ КЛЕТКИ И
ДЫХАТЕЛЬНОГО ПОСОБИЯ",Врач скорой помощи,,11,,33--61,2017,,,https://elibrary.ru/item.asp?id=35684189,,,,,,,,,,,,,,,,,
7,,a35684215,"Зейтц, Р.; Пруст, А.; Элсон, Р.","РУКОВОДСТВО ПО НЕОТЛОЖНОЙ
ТРАВМАТОЛОГИЧЕСКОЙ ПОМОЩИ ITLS.
ЧАСТЬ 8. НАВЫКИ ОКАЗАНИЯ ПОМОЩИ
ПРИ ТРАВМАХ ГРУДНОЙ КЛЕТКИ И
ДЫХАТЕЛЬНОГО ПОСОБИЯ",Врач скорой помощи,,12,,23--42,2017,,,https://elibrary.ru/item.asp?id=35684215,,,,,,,,,,,,,,,,,
